Порядковый номер,Район,Адрес,Количество видеокамер
1.343,Адмиралтейский район,"Лермонтовский проспект, дом 12",3
1.344,Адмиралтейский район,"Лермонтовский проспект, дом 14",3
1.345,Адмиралтейский район,"Лермонтовский проспект, дом 17",7
1.346,Адмиралтейский район,"Лермонтовский проспект, дом 21",3
1.347,Адмиралтейский район,"Лермонтовский проспект, дом 27",2
1.348,Адмиралтейский район,"Лермонтовский проспект, дом 30",9
1.349,Адмиралтейский район,"Лермонтовский проспект, дом 37",4
1.350,Адмиралтейский район,"Лермонтовский проспект, дом 4",4
1.351,Адмиралтейский район,"Лермонтовский проспект, дом 40-42",1
1.352,Адмиралтейский район,"Лермонтовский проспект, дом 40-42, литера Б",2
1.353,Адмиралтейский район,"Лермонтовский проспект, дом 40-42, литера В",4
1.354,Адмиралтейский район,"Лермонтовский проспект, дом 41, сооружение 1, опора освещения",3
1.355,Адмиралтейский район,"Лермонтовский проспект, дом 43/1",9
1.356,Адмиралтейский район,"Лермонтовский проспект, дом 44",6
1.357,Адмиралтейский район,"Лермонтовский проспект, дом 49",17
1.358,Адмиралтейский район,"Лермонтовский проспект, дом 5/11",4
1.359,Адмиралтейский район,"Лермонтовский проспект, дом 54, литера Х",3
1.360,Адмиралтейский район,"Лермонтовский проспект, дом 54, литера Х, опора освещения",4
1.361,Адмиралтейский район,"Лермонтовский проспект, дом 54, остановочный павильон общественного транспорта",2
1.362,Адмиралтейский район,"Лермонтовский проспект, дом 55",6
1.363,Адмиралтейский район,"Лермонтовский проспект, дом 57-59",3
1.364,Адмиралтейский район,"Лермонтовский проспект, дом 57-59, опора освещения",1
1.365,Адмиралтейский район,"Лермонтовский проспект, дом 9/55",3
1.366,Адмиралтейский район,"Лифляндская улица, дом 12",1
1.367,Адмиралтейский район,"Лифляндская улица, дом 12, литера Б",4
1.368,Адмиралтейский район,"Лифляндская улица, дом 12, литера В, опора",2
1.369,Адмиралтейский район,"Лифляндская улица, дом 12, опора",1
1.370,Адмиралтейский район,"Лифляндская улица, дом 12а",3
1.371,Адмиралтейский район,"Лифляндская улица, дом 2-4, литера Ц",1
1.372,Адмиралтейский район,"Лифляндская улица, дом 3, литера Ц, опора освещения",2
1.373,Адмиралтейский район,"Лоцманская улица, дом 20, опора освещения",6
1.374,Адмиралтейский район,"Люблинский переулок, дом 2/5",1
1.375,Адмиралтейский район,"Люблинский переулок, дом 4",1
1.376,Адмиралтейский район,"Малая Морская улица, дом 15",6
1.377,Адмиралтейский район,"Малая Морская улица, дом 17, остановочный павильон общественного транспорта",2
1.378,Адмиралтейский район,"Малая Морская улица, дом 19",6
1.379,Адмиралтейский район,"Малая Морская улица, дом 21, остановочный павильон общественного транспорта",2
1.380,Адмиралтейский район,"Малая Морская улица, дом 23",4
1.381,Адмиралтейский район,"Малая Подьяческая улица, дом 8",5
1.382,Адмиралтейский район,"Малодетскосельский проспект, дом 17-19/34",4
1.383,Адмиралтейский район,"Малодетскосельский проспект, дом 23",4
1.384,Адмиралтейский район,"Малодетскосельский проспект, дом 28, литера Д",1
1.385,Адмиралтейский район,"Малодетскосельский проспект, дом 31",1
1.386,Адмиралтейский район,"Малодетскосельский проспект, дом 33",5
1.387,Адмиралтейский район,"Малодетскосельский проспект, дом 33, остановочный павильон общественного транспорта",2
1.388,Адмиралтейский район,"Малодетскосельский проспект, дом 36",3
1.389,Адмиралтейский район,"Малодетскосельский проспект, дом 38, литера Б",1
1.390,Адмиралтейский район,"Малодетскосельский проспект, дом 38, литера В",1
1.391,Адмиралтейский район,"Малодетскосельский проспект, дом 38, литера Г",1
1.392,Адмиралтейский район,"Марата улица, дом 86, опора осещения",2
1.393,Адмиралтейский район,"Мастерская улица, дом 5",2
1.394,Адмиралтейский район,"Матисов переулок, дом 4, литера З, опора освещения",2
1.395,Адмиралтейский район,"Митрофаньевское шоссе, дом 15, опора освещения",3
1.396,Адмиралтейский район,"Митрофаньевское шоссе, дом 2, корпус 1, литера К",5
1.397,Адмиралтейский район,"Митрофаньевское шоссе, дом 2, корпус 4",3
1.398,Адмиралтейский район,"Можайская улица, дом 1",1
1.399,Адмиралтейский район,"Можайская улица, дом 11",6
1.400,Адмиралтейский район,"Можайская улица, дом 2",1
